,Unnamed: 0,Nom de l'établissement,Commune,CP,Région,Département,Categorie_filiere,activite,Cognitif,Physique,Sensoriel
1696,1696,LE BOUCHERON DE BEYNAC,BEYNAC,87700,Nouvelle Aquitaine,Haute-Vienne,Hébergement,Meublé de tourisme,True,False,False
1697,1697,"Meublé ""Vent du Large""",SAINT-PIERRE-D'OLERON,17310,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,True,False
1698,1698,Restaurant Gozategia,AYHERRE,64240,Nouvelle Aquitaine,Pyrénées-Atlantiques,Restauration,Restaurant,True,True,True
1699,1699,Palais des rois de Majorque,PERPIGNAN,66000,Occitanie,Pyrénées-Orientales,Visite,Lieu de visite;Visite guidée,True,False,False
1700,1700,La Bergerie,AGENVILLERS,80150,Hauts de France,Somme,Hébergement,Meublé de tourisme,True,True,True
1701,1701,Hôtel restaurant Le Continental,CANCALE,35260,Bretagne,Ille-et-Vilaine,Hébergement;Restauration,Hôtel;Restaurant,True,True,True
1702,1702,Hôtel Ibis Budget,ROMORANTIN-LANTHENAY,41200,Centre - Val de Loire,Loir-et-Cher,Hébergement,Hôtel,True,True,True
1703,1703,Office de Tourisme Aix-en-Provence,AIX-EN-PROVENCE,13100,Provence Alpes-Côte d'Azur,Bouches-du-Rhône,Information touristique,Office de tourisme,True,True,True
1704,1704,Office de Tourisme de Moulins,MOULINS,3000,Auvergne Rhône-Alpes,Allier,Information touristique,Office de tourisme,True,True,True
1705,1705,Résidence de vacances Château de Collonges,SAINT-DONAT-SUR-L'HERBASSE,26260,Auvergne Rhône-Alpes,Drôme,Hébergement,Village de vacances,True,True,True
1706,1706,Le Querreu,GOURVILLETTE,17490,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,False,False
1707,1707,Meublé Azcoitia,LECUMBERRY,64220,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Meublé de tourisme,True,True,True
1708,1708,Gîte Rural du Petit Charde,L'ISLE-JOURDAIN,86150,Nouvelle Aquitaine,Vienne,Hébergement,Meublé de tourisme,True,True,False
1709,1709,Résidence de Tourisme Les Pavillons du Rooy,SALIES-DE-BEARN,64270,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Résidence de tourisme,True,False,False
1710,1710,Les Piéris Chambres d'hôtes Le Marais - La Plage-La Mer-Le Bocage,GRANDCAMP-MAISY,14450,Normandie,Calvados,Hébergement,Chambre d'hôtes;Résidence de tourisme,True,True,False
1711,1711,Village de vacances Lou Bastidou,CUERS,83390,Provence Alpes-Côte d'Azur,Var,Hébergement,Village de vacances,True,True,True
1712,1712,Gite Les Mûriers,MORNAND-EN-FOREZ,42600,Auvergne Rhône-Alpes,Loire,Hébergement,Meublé de tourisme,True,True,True
1713,1713,Meublé de Mme. de Gail,LA CROIX-AUX-MINES,88520,Grand Est,Vosges,Hébergement,Meublé de tourisme,True,True,True
1714,1714,Médiathèque intercommunale André Labarrère,PAU,64000,Nouvelle Aquitaine,Pyrénées-Atlantiques,Loisir,Etablissement de loisir,True,True,True
1715,1715,Le Phare de Chassiron,SAINT-DENIS-D'OLERON,17650,Nouvelle Aquitaine,Charente-Maritime,Visite,Lieu de visite,True,False,False
1716,1716,Meublés L'Anse de Moidrey,LE MONT-SAINT-MICHEL,50170,Normandie,Manche,Hébergement;Information touristique;Loisir,Meublé de tourisme;Office de tourisme;Partenaire de tourisme;Sport de nature,True,True,True
1717,1717,OFFICE DE TOURISME TOURAINE NATURE//Bureau d'accueil de Langeais,LANGEAIS,37130,Centre - Val de Loire,Indre-et-Loire,Information touristique,Office de tourisme,True,True,True
1718,1718,Chalet Le Cèdre - La Ferme de la Croze,SAINT-JOSEPH-DES-BANCS,7530,Auvergne Rhône-Alpes,Ardèche,Hébergement,Meublé de tourisme,True,True,True
1719,1719,"Chambres d'Hôtes ""Clos des Pierres Blanches""",BRIE-SOUS-ARCHIAC,17520,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Chambre d'hôtes,True,False,False
1720,1720,Bureau d'Information Touristique de Sainte-Alvère,SAINTE-ALVERE,24510,Nouvelle Aquitaine,Dordogne,Information touristique,Office de tourisme,True,True,True
1721,1721,LE JARDIN PECHEUR,BORDEAUX,33300,Nouvelle Aquitaine,Gironde,Restauration,"Café, bar, brasserie;Restaurant",True,True,True
1722,1722,Gîte des Grands Clos,DESERVILLERS,25330,Bourgogne Franche-Comté,Doubs,Hébergement,Meublé de tourisme,True,True,True
